TABLE_NAME,COLUMN_NAME,DB_DATA_TYPE,COLUMN_KEY,EXTRA,SCRUB_EXEMPT,TO_BE_HASHED,FULL_SCRUB
LEVEL_CHANGE,CERTIFICATE_STUB,varchar,,,N,N,N
LEVEL_CHANGE,NOTIFIED,tinyint,,,Y,N,N
LOGIN,ID,int,PRI,auto_increment,N,Y,N
LOGIN,USER_ID,int,MUL,,N,Y,N
LOGIN,LOGIN,datetime,,,Y,N,N
LOGIN,LOGOUT,datetime,,,Y,N,N
LOGIN,IP,varchar,,,N,N,Y
LOGIN,USER_AGENT,varchar,,,N,N,N
LOGIN,SUCCESS,tinyint,,,Y,N,N
LOGIN,LOGOUT_REASON,smallint,,,Y,N,N
MANAGEMENT_PLAN,ID,int,PRI,auto_increment,N,Y,N
MANAGEMENT_PLAN,ACTOR_ID,int,MUL,,N,Y,N
MANAGEMENT_PLAN,TIPS,longtext,,,N,N,N
MANAGEMENT_PLAN,SUMMARY,longtext,,,N,N,N
MANAGEMENT_PLAN,LAST_EDIT_UID,int,,,Y,N,N
MANAGEMENT_PLAN,LAST_EDIT_TIME,datetime,,,Y,N,N
MANAGEMENT_PLAN,CREATED_AT,datetime,,,Y,N,N
MANAGEMENT_PLAN,CONVO_ATTEMPTS,int,,,Y,N,N
MANAGEMENT_PLAN,ARCHIVED,tinyint,,,Y,N,N
MANAGEMENT_PLAN,GRANDFATHERED,tinyint,,,Y,N,N
MANAGEMENT_PLAN,LASTCONVERSATION_ID,int,UNI,,N,Y,N
MESSAGE,ID,int,PRI,auto_increment,N,Y,N
MESSAGE,CONVERSATION_ID,int,MUL,,N,Y,N
MESSAGE,ACTOR_ID,int,MUL,,N,Y,N
MESSAGE,TYPE,int,,,Y,N,N
MESSAGE,MESSAGE,longtext,,,N,N,N
MESSAGE,TIMESTAMP,datetime,,,Y,N,N
MESSAGE,SALT,longtext,,,N,N,Y
MESSAGE,REMOTE_MESSAGE_ID,varchar,MUL,,N,Y,Y
MESSAGE,STATUS,int,,,Y,N,N
MESSAGE,RETRIES,int,,,Y,N,N
MESSAGE,DELIVERY_ERROR,varchar,,,Y,N,N
MESSAGE,MEDIA_URI,longtext,,,Y,N,N
MESSAGE,MEDIA_MIMETYPE,varchar,,,Y,N,N
MESSAGE_REFERRAL_USAGE,ID,int,PRI,auto_increment,N,Y,N
MESSAGE_REFERRAL_USAGE,REFERRAL_ID,int,MUL,,N,Y,N
MESSAGE_REFERRAL_USAGE,MESSAGE_ID,int,MUL,,N,Y,N
MESSAGE_REFERRAL_USAGE,CONTACT_DETAIL_TYPE,varchar,,,Y,N,N
MESSAGE_REFERRAL_USAGE,MATCHED_STRING,varchar,,,N,N,N
MESSAGE_TRIAGE_RESPONSE,ID,int,PRI,auto_increment,N,Y,N
MESSAGE_TRIAGE_RESPONSE,MESSAGE_ID,int,,,N,Y,N
MESSAGE_TRIAGE_RESPONSE,CONFIDENCE_HIGH,double,,,N,N,N
MESSAGE_TRIAGE_RESPONSE,CONFIDENCE_MED,double,,,N,N,N
MESSAGE_TRIAGE_RESPONSE,CONFIDENCE_LOW,double,,,N,N,N
MESSAGE_TRIAGE_RESPONSE,CONFIDENCE_OVERALL,double,,,N,N,N
MESSAGE_TRIAGE_RESPONSE,RIK_PREDICTION,varchat,,,N,N,N
MESSAGE_TRIAGE_RESPONSE,TIMESTAMP,datetime,,,N,N,N
MESSAGE_TRIAGE_RESPONSE,MODEL,varchar,,,N,N,N
MIGRATION_VERSIONS,VERSION,varchar,PRI,,Y,N,N
MIGRATION_VERSIONS,EXECUTED_AT,datetime,,,Y,N,N
NOTE,ID,int,PRI,auto_increment,N,Y,N
NOTE,CONVERSATION_ID,int,MUL,,N,Y,N
